speaker_id,corpus,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63,z64
0003b969350f5308dc7347c574bc291834f38fdd92a2863b6059349b4be9738133855f3c49c0a6f7b7b01aff4be4573a1b066fbc7e1c26b1b9383c9d787acc5d,CommonVoice-ES,-7.1669645,-0.5572921,5.279311,-0.88353145,-0.19170691,-0.10290441,-3.440022,4.679743,-2.818621,-3.788498,-2.6517732,1.1277516,2.400927,-2.998867,0.95587504,-4.468565,2.0616162,-2.7715168,1.8151015,0.41399214,2.3824635,5.2074823,-7.198579,-1.0467879,2.1921291,0.1711391,-1.3293672,-1.7271081,2.8188818,-0.3598761,-1.1524508,-4.9866524,-4.8207684,1.9221125,-6.59735,2.4650278,0.47105777,0.7165605,-5.72108,-2.431091,-0.55465114,-0.30036062,2.7310095,0.404187,0.51229936,0.48583457,4.382926,2.4380505,0.081519864,1.9911361,0.868196,-0.5080919,-1.616121,0.52793455,2.4412951,-4.4471464,1.094491,4.528004,3.6854393,1.8896874,-0.70038337,-2.2230349,1.2469296,-0.024410855
000cabfec517361c40d984236ed5047a99984258e9842df2ca556d919e115e09f0f0bbd46a029cdfe8edd3583d4e38d45c9c464d942ea82076cd101df7898390,CommonVoice-ES,-4.4736958,-2.6894636,6.3098755,1.0215256,0.6558737,3.129945,-2.958795,-0.7937752,3.0155468,1.0607558,-0.86512315,3.1127722,-1.8768791,0.7569794,-5.072405,2.6344075,2.3593733,-0.85629624,-2.077134,0.6225648,-1.6609766,-4.4413776,2.1792493,4.2379384,-1.4297032,-1.6014445,3.843779,2.4293697,1.095135,3.9166002,-0.96377957,2.369559,-1.3172653,-2.4232118,2.7171853,3.4373412,1.4337373,-0.53198236,-1.3068984,1.7777457,1.5220282,-1.3625127,3.0330431,-3.1604152,-0.78455126,-1.5688353,-2.6670752,2.0137472,-3.6123414,-1.2784523,-0.13480248,-0.42486012,0.79694575,-2.9586768,0.49110132,1.9373934,0.8606446,1.1652708,2.0119042,-1.520646,-0.43934518,-1.0135524,-1.9196866,1.2136545
000de8f59af10409a1f8e499c2f50b6a5adf2d9ad0f18395af0893345481b8311b1a094787aac8959fc50961f3e94deeacd005df8d478fd261cbf7b508602f0a,CommonVoice-ES,-5.6220646,0.06653933,3.099968,-3.2499619,2.9762282,-0.7543665,-3.167296,2.1694236,3.4160032,0.8312275,2.6577435,-5.810308,-0.6072763,-1.7597724,5.166895,-0.39055282,-2.7344825,2.6919842,1.2690929,-4.8212805,-0.34684035,0.24235056,4.8366528,0.3882045,-1.1803148,-0.13899519,0.5315156,-2.322938,-1.750763,-0.6378693,-2.4359298,0.63159764,-1.6547244,0.27869093,0.35445,-0.29814157,-0.7580823,1.6940489,3.7802744,2.2861073,-0.47652566,0.982991,-1.7963889,-2.2298126,2.4210598,-0.72418576,1.1792479,0.9418221,1.8425722,-4.066111,-5.4130793,0.0920627,2.754079,1.2167137,-0.88458407,0.6322091,1.2685604,1.0632237,0.31162506,-1.9356854,-0.72381884,1.7143137,-1.9256556,0.056344125
000e1fde6e71b6a7bcdb9c7135d361d67e695ffee99111e331df84503fe1c874cb6217702dae6fc5785f64da0adc58b6ad705bec36a2708ad6291b3dccf39cfb,CommonVoice-ES,-9.520266,-1.9517913,4.343934,-0.4519978,1.3701417,-3.8660831,-1.2909322,1.9311507,4.982478,0.93524706,6.446287,-0.6684759,1.0899582,3.6497352,-1.1107817,2.3803463,3.953762,1.206025,-0.5867644,-2.36934,-3.4742594,1.5256623,-1.5764048,0.53461844,1.5671393,2.9902577,-3.7901552,-2.0955372,2.7705944,-0.6110981,-0.043298613,-2.486543,-1.1762784,-0.04312536,0.0322659,-2.4382715,1.152818,-0.9621817,-2.5943203,-2.1718278,0.5391083,-1.1443723,3.5432823,0.5501815,-0.88016003,-2.0364757,0.6884497,2.3005307,0.65184414,0.63589877,-0.6771373,0.28928435,-2.2464828,-0.11594443,1.6446834,0.36283347,-2.5369544,-0.35159767,-2.5996382,-0.22821517,-1.0817739,-1.8505238,-0.64993054,2.2048068
001519f234e04528a2b36158c205dbe61c8da45ab0242f8800d6c4c2e9ac6ca76c9e5af86a313ab309f426c44204dfa7d2bb14b37ed565af9c1c6c86943675f9,CommonVoice-ES,-6.446351,-3.8888946,4.030011,-0.56497467,-6.263379,0.051237676,-1.728718,-3.249751,3.669869,3.835968,1.9259486,-4.460723,2.3498788,2.641793,-3.2288904,3.4860253,-1.7296314,-2.4628053,1.29089,-0.41646913,0.9499184,-1.3024105,-2.2795796,-2.473657,5.690298,-1.1224208,-2.1760807,-0.5229147,-4.3761187,-0.12519416,2.4563289,-2.9772425,-2.0519981,3.984779,-0.18007356,-3.1594281,0.07411768,2.783464,0.42664993,2.2199013,-2.9867706,1.1142259,1.2710356,1.6087992,-0.90080494,-0.18813525,-3.514778,0.1890499,0.58310306,-1.1681697,-1.941441,1.2505499,-0.7440079,-0.024535999,2.1310384,-0.3493547,1.6870782,-1.2584248,-0.70809186,1.1959941,-1.5733322,2.7147741,-0.47147316,-3.058672
004268aa90f5599161165dfd35e9ccb3c035e16623ba04e4510496ae5ba2139c2fc2a880efb15793acdd5b0a9f3f8b333f09c3852eaa5120202797f0416c0d5e,CommonVoice-ES,-8.040862,0.1042888,3.134976,-2.8787646,4.1162777,1.6831841,-2.9567018,-1.1896653,-2.0702507,-0.48155215,-5.279614,-0.8224468,3.0045686,-3.1466393,4.8682957,-0.6144252,2.292131,2.2818804,-0.02382344,2.6291447,-0.83066297,3.8004029,3.5024886,2.469147,-3.4581463,-2.7886865,-1.3905226,0.2361017,3.930585,-2.0412116,-2.9800391,-1.0731671,-2.217943,1.0473158,-2.2847939,2.9470167,0.10148122,1.098875,0.5660533,-2.672645,0.87404215,1.9432111,-2.2684464,2.4046087,-3.4511917,-0.5756556,0.21962167,-1.3767809,-0.8700013,-0.66763735,-0.25930732,-0.72432905,-0.605343,-0.4567289,4.5257444,-0.3228327,1.4582889,0.16867346,1.0186847,-4.107334,0.084604606,-0.21079387,-1.3656256,0.5810877
005de462403c8b83232de3c8634f6b985f2576bdb9eaa0e4990dda1d081b4e3f063fb692756685bbae9f753ce9a9a0e1f3106b0440d2001df5cdb97bbcf5bd19,CommonVoice-ES,-8.142056,-0.5960045,-3.3418984,0.2813508,-0.78385943,-5.143774,-0.5416788,0.69876647,-2.078524,0.4215301,2.1401,-1.1347044,4.694125,1.0879917,4.2627335,-2.8569903,-1.1187555,2.0517993,-0.29758084,-3.8447113,2.6374342,1.4048926,-1.3604909,4.312684,-1.8102689,1.3335229,-2.948955,0.49057263,-1.527282,-0.14299974,-0.750681,1.9078507,1.2878373,-1.0985256,-1.8860865,-2.8836582,-1.7194725,-0.7592969,-1.483504,1.7583516,-1.5326717,-1.2784528,-0.41738856,-2.876881,0.29447186,1.5585966,0.16013032,0.86455244,-0.7116182,0.4161275,2.2446473,-0.0838376,1.2040639,-0.7382424,0.58038473,-1.1213487,0.10937009,0.82820755,0.2369979,-1.0202969,-0.27352685,-1.8395975,-0.6129209,2.7678802
006015274fb2a0e44ffd95b6624a52ebf90b65f3e9beacd08f30f03a2dfb7f04b5007740d80dcfcb7ee2916cf8836311fa9bdc5ab0636ffc36ad14407d75e51b,CommonVoice-ES,-5.7351885,-5.198942,5.3057575,-0.3971043,-6.278276,1.8031714,-1.6994879,4.287604,0.16446307,1.727221,4.2441273,1.3572327,1.4847491,-0.6309188,-0.49090558,-1.3749809,2.6127768,1.1224253,-2.867323,-0.33093148,-2.4899206,-0.17731358,3.9157085,-1.280995,-2.378828,2.5337484,-2.1616158,1.9246051,-0.388572,-1.8422832,-1.0601497,-3.1789677,0.48729515,0.43387774,-0.30175698,-1.335535,-0.6823162,2.2668486,1.3431109,4.2250266,-2.42408,-0.9728,2.118307,0.8348676,-0.44080573,-0.9458434,1.0705016,-1.4377751,-0.00058919674,-0.5375289,0.36267582,-0.44471622,0.01848236,1.4957457,3.209097,3.8124006,1.2071267,1.4303013,-1.2262588,2.2856336,2.4796844,1.0035053,-2.1803231,-1.7588346
007af9a8b5b99ecebf4f3383f6479310ab74a4db11ad97caee4bf74649abbaa768911c7e2d4686280fca6e85edc08cdf2056ce6ae6b9ed57d30626717d0ab21c,CommonVoice-ES,-2.6238284,2.9908595,-3.1510196,-2.3394642,-1.3603954,3.4010434,-5.7303553,3.2205749,3.2590427,-2.0744658,-4.4846525,-1.6696821,0.29204202,-0.019921541,-2.2647557,0.12736443,-0.96617377,-1.5715208,-0.3906014,0.16721493,2.780138,-2.756072,-0.34443694,0.34884664,-4.754972,0.21311353,-3.2102757,4.077774,-1.8267257,-1.5809966,0.4651757,2.1268573,-0.8245963,-3.4366267,-1.16486,0.69728756,-0.15257479,-0.57482445,1.6729875,1.9948841,1.8387303,2.4977489,1.9481859,2.52052,0.4174767,-0.944368,0.2874912,1.95327,0.41986224,2.5537062,-0.6573074,1.5266893,-3.6436553,0.039581135,-1.0836074,2.1928973,-0.56952894,1.1294087,-3.0923219,0.5577264,0.3836953,-0.9437262,0.26052406,-0.89386284
009a05a9e971f49fc37576ba2f3a90ca1c7b0e595cfaf924bfcb539d3ff0476b0e4288f8afa637da46bcb2203fb5261c78cd5f3c35b7a2bc2bf4fba8f5c90922,CommonVoice-ES,-5.2436414,3.9235373,-4.701413,2.5030837,-1.7222738,3.105839,-3.1578946,-0.8432746,0.48937136,1.2785766,-3.53554,-5.451233,-2.0956569,-0.580995,0.2529132,5.748027,-4.2589164,-2.7173762,1.3763664,-0.10941892,0.46588033,-1.4149381,1.3783092,-0.83632517,-1.8077195,-1.4467942,0.8581989,2.1621594,1.4125566,-2.0090256,1.8397331,-1.9602149,-1.6953287,-0.3970396,0.96344066,-3.8967226,-0.9657408,-0.0011299074,-4.091572,3.8619576,0.00794721,3.1422868,-1.283058,-1.6369579,2.4575489,0.0033212823,0.6781482,-2.0176077,-1.5735471,3.4580197,-2.016643,-1.6638483,1.6964039,-5.399348,-1.6679994,-0.63848877,2.2553012,0.8931971,1.897182,0.34709752,1.3488775,-0.4704637,-2.8587003,-0.3916611
